id	chrom	start_pos	end_pos	size	gc_content
1	chr	0	425	425	0.4988235294117647
2	chr	425	626	201	0.30845771144278605
3	chr	626	789	163	0.3067484662576687
4	chr	789	887	98	0.29591836734693877
5	chr	887	895	8	0.375
6	chr	895	1797	902	0.29933481152993346
7	chr	1797	1832	35	0.37142857142857144
8	chr	1832	1852	20	0.4
9	chr	1852	1863	11	0.2727272727272727
10	chr	1863	2109	246	0.29268292682926833
11	chr	2109	2138	29	0.24137931034482757
12	chr	2138	2169	31	0.29032258064516125
13	chr	2169	2381	212	0.3113207547169811
14	chr	2381	2880	499	0.2865731462925852
15	chr	2880	3941	1061	0.26861451460885954
16	chr	3941	3953	12	0.5
17	chr	3953	4832	879	0.2627986348122867
18	chr	4832	5441	609	0.174055829228243
19	chr	5441	5670	229	0.26200873362445415
20	chr	5670	6753	1083	0.22991689750692523
21	chr	6753	7130	377	0.23076923076923075
22	chr	7130	7628	498	0.20281124497991967
23	chr	7628	7763	135	0.23703703703703702
24	chr	7763	7877	114	0.2368421052631579
25	chr	7877	8003	126	0.2380952380952381
26	chr	8003	8270	267	0.25468164794007486
27	chr	8270	8376	106	0.20754716981132076
28	chr	8376	8432	56	0.26785714285714285
29	chr	8432	8570	138	0.26811594202898553
30	chr	8570	8630	60	0.21666666666666667
31	chr	8630	8834	204	0.29411764705882354
32	chr	8834	8915	81	0.2716049382716049
33	chr	8915	9039	124	0.3064516129032258
34	chr	9039	9117	78	0.2948717948717949
35	chr	9117	9138	21	0.28571428571428575
36	chr	9138	9592	454	0.2775330396475771
37	chr	9592	9609	17	0.23529411764705885
38	chr	9609	10233	624	0.21955128205128205
39	chr	10233	10254	21	0.38095238095238093
40	chr	10254	10299	45	0.26666666666666666
41	chr	10299	10493	194	0.28350515463917525
42	chr	10493	10716	223	0.2645739910313901
43	chr	10716	10723	7	0.5714285714285715
44	chr	10723	10834	111	0.22522522522522523
45	chr	10834	10948	114	0.3157894736842105
46	chr	10948	11261	313	0.23322683706070285
47	chr	11261	11561	300	0.26
48	chr	11561	11827	266	0.2744360902255639
49	chr	11827	12717	890	0.1696629213483146
50	chr	12717	12839	122	0.14754098360655737
51	chr	12839	12885	46	0.17391304347826086
52	chr	12885	12929	44	0.20454545454545453
53	chr	12929	14031	1102	0.1724137931034483
54	chr	14031	14358	327	0.21712538226299696
55	chr	14358	14455	97	0.30927835051546393
56	chr	14455	14520	65	0.26153846153846155
57	chr	14520	14658	138	0.2246376811594203
58	chr	14658	14946	288	0.2361111111111111
59	chr	14946	14951	5	0.6
60	chr	14951	15816	865	0.19421965317919074
61	chr	15816	16044	228	0.1929824561403509
62	chr	16044	16264	220	0.2
63	chr	16264	16848	584	0.2568493150684931
64	chr	16848	16879	31	0.29032258064516125
65	chr	16879	17022	143	0.2867132867132867
66	chr	17022	17463	441	0.19954648526077098
67	chr	17463	17519	56	0.14285714285714288
68	chr	17519	17528	9	0.2222222222222222
69	chr	17528	17552	24	0.16666666666666669
70	chr	17552	17615	63	0.25396825396825395
71	chr	17615	18002	387	0.19638242894056848
72	chr	18002	18110	108	0.1851851851851852
73	chr	18110	18183	73	0.1780821917808219
74	chr	18183	18642	459	0.1633986928104575
75	chr	18642	18726	84	0.20238095238095238
76	chr	18726	18789	63	0.15873015873015872
77	chr	18789	18863	74	0.2567567567567568
78	chr	18863	19525	662	0.20845921450151056
79	chr	19525	19636	111	0.17117117117117117
80	chr	19636	19683	47	0.1276595744680851
81	chr	19683	19884	201	0.1791044776119403
82	chr	19884	19926	42	0.2619047619047619
83	chr	19926	19989	63	0.19047619047619047
84	chr	19989	20260	271	0.1992619926199262
85	chr	20260	20388	128	0.171875
86	chr	20388	20421	33	0.18181818181818182
87	chr	20421	20470	49	0.24489795918367346
88	chr	20470	20564	94	0.2553191489361702
89	chr	20564	20907	343	0.21574344023323616
90	chr	20907	20925	18	0.1111111111111111
91	chr	20925	20964	39	0.23076923076923075
92	chr	20964	21183	219	0.2465753424657534
93	chr	21183	22469	1286	0.29704510108864696
94	chr	22469	23276	807	0.23667905824039653
95	chr	23276	23339	63	0.25396825396825395
96	chr	23339	23595	256	0.23828125
97	chr	23595	24282	687	0.2183406113537118
98	chr	24282	24465	183	0.21311475409836067
99	chr	24465	24696	231	0.3203463203463203
100	chr	24696	24792	96	0.3125
101	chr	24792	24870	78	0.3076923076923077
102	chr	24870	24921	51	0.2745098039215686
103	chr	24921	25077	156	0.19871794871794873
104	chr	25077	25254	177	0.2711864406779661
105	chr	25254	25287	33	0.30303030303030304
106	chr	25287	25457	170	0.21176470588235294
107	chr	25457	25560	103	0.2621359223300971
108	chr	25560	25911	351	0.24216524216524216
109	chr	25911	25929	18	0.33333333333333337
110	chr	25929	25953	24	0.2916666666666667
111	chr	25953	26052	99	0.30303030303030304
112	chr	26052	26272	220	0.2681818181818182
113	chr	26272	26428	156	0.24358974358974358
114	chr	26428	26577	149	0.2080536912751678
115	chr	26577	26711	134	0.19402985074626866
116	chr	26711	27058	347	0.2478386167146974
117	chr	27058	27100	42	0.21428571428571427
118	chr	27100	27204	104	0.16346153846153846
119	chr	27204	27481	277	0.1371841155234657
120	chr	27481	27680	199	0.1708542713567839
121	chr	27680	28219	539	0.163265306122449
122	chr	28219	28642	423	0.17257683215130024
123	chr	28642	28840	198	0.20707070707070707
124	chr	28840	29157	317	0.17981072555205047
125	chr	29157	29324	167	0.20359281437125748
126	chr	29324	29665	341	0.15542521994134897
127	chr	29665	29696	31	0.3225806451612903
128	chr	29696	29771	75	0.3066666666666667
129	chr	29771	29934	163	0.23926380368098157
130	chr	29934	29953	19	0.3157894736842105
131	chr	29953	30103	150	0.24
132	chr	30103	30122	19	0.2631578947368421
133	chr	30122	30151	29	0.1724137931034483
134	chr	30151	30193	42	0.30952380952380953
135	chr	30193	30336	143	0.2867132867132867
136	chr	30336	30520	184	0.24456521739130432
137	chr	30520	30547	27	0.1851851851851852
138	chr	30547	30621	74	0.2567567567567568
139	chr	30621	30658	37	0.32432432432432434
140	chr	30658	31176	518	0.2084942084942085
